gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3760338763	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/189647812/original.jpg	https://www.inaturalist.org/photos/189647812					2022-04-21T14:26:37Z	Lauritz Grønn		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Lauritz Grønn
3760306293	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/188858596/original.jpg	https://www.inaturalist.org/photos/188858596					2022-04-11T14:52:20Z	katemcd79		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	katemcd79
3760267668	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/185840236/original.jpeg	https://www.inaturalist.org/photos/185840236					2022-04-02T20:15:00Z	Kirsten Engeseth		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kirsten Engeseth
3760189657	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/189454489/original.jpeg	https://www.inaturalist.org/photos/189454489					2022-04-21T02:35:30Z	nelliesofie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	nelliesofie
3759855814	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/178430129/original.jpeg	https://www.inaturalist.org/photos/178430129					2022-02-06T19:23:31Z	Charlotte Kirchner		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Charlotte Kirchner
3759855814	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/178430106/original.jpeg	https://www.inaturalist.org/photos/178430106					2022-02-06T09:22:55Z	Charlotte Kirchner		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Charlotte Kirchner
3759851874	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/180755454/original.jpg	https://www.inaturalist.org/photos/180755454					2022-02-20T23:12:55Z	Marléne		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marléne
3759851874	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/180755447/original.jpg	https://www.inaturalist.org/photos/180755447					2022-02-20T23:12:57Z	Marléne		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Marléne
3759523766	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/185974418/original.jpg	https://www.inaturalist.org/photos/185974418					2022-04-01T12:25:27Z	hubu		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hubu
3759376744	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/187923182/original.jpg	https://www.inaturalist.org/photos/187923182					2022-04-13T21:35:40Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
